user_id,course_index,course_name,match_type,rating
0,375,Introduction to Machine Learning,high,4.5
0,1330,"Merge, Sort and Filter Data in Python Pandas",high,4.24
0,1810,Introduction to Google Docs,high,4.56
0,916,Perform Real-Time Object Detection with YOLOv3,low,3.21
0,572,TensorFlow for AI: Computer Vision Basics,random,2.84
1,199,Software Product Management Capstone,high,4.21
1,2084,Agile Projects: Develop Product Wireframe Prototypes in Miro,high,4.93
1,1034,Introduction to Software Product Management,high,4.61
1,130,Introduction to Acoustics (Part 2),low,2.02
1,122,World Design for Video Games,random,3.38
2,955,Using TensorFlow with Amazon Sagemaker,high,4.11
2,957,The Data Science of Health Informatics,high,4.11
2,2016,Getting Started with AI using IBM Watson,high,4.4
2,2502,Getting Started on Mainframe with z/OS Commands and Panels,low,1.15
2,108,Understanding the Australian economy: An introduction to macroeconomic and financial policies,random,1.79
3,644,Information Visualization: Applied Perception,high,4.08
3,3233,"Innovation Through Design: Think, Make, Break, Repeat",high,3.89
3,3134,A Guide to Healthcare Innovation: Principles and Practice,high,4.43
3,2494,Tinkering Fundamentals: Motion and Mechanisms,high,3.94
3,1566,Advanced Manufacturing Enterprise,high,3.74
3,3359,Principles of Game Design,high,4.89
3,2380,Supply Chain Principles,high,4.21
3,1299,Planning a Patient Safety or Quality Improvement Project (Patient Safety III),high,4.33
3,500,Supply Chain Management: A Learning Perspective,high,3.73
3,50,Voices of Social Change,high,4.08
3,3118,Introduction to Business Analytics with R,low,2.37
3,3310,Interview Research and Preparation,random,2.19
4,2099,Object-Oriented Design,high,4.45
4,1194,Building a Text-Based Bank in Java,high,4.06
4,1138,eHealth: More than just an electronic record,low,2.12
4,636,Ethical Social Media,random,2.58
4,881,Security Operations and Administration,random,4.3
4,3130,Oil & Gas Industry Operations and Markets,random,2.99
5,1210,Neural Style Transfer with TensorFlow,high,3.88
5,669,Sequence Models,high,4.63
5,2310,Introduction to Reinforcement Learning in Python,high,3.81
5,3083,Predict Future Product Prices Using Facebook Prophet,high,4.38
5,1706,Natural Language Processing with Sequence Models,high,3.52
5,2351,Generating New Recipes using GPT-2,high,3.77
5,2398,Predict Performance Using MA Forecasting in Google Sheets,high,4.38
5,2487,Risk governance: Engage the board,low,2.74
5,1084,Clinical Terminology for International and U.S. Students,random,3.12
6,2070,Create a Business Marketing Brand Kit Using Canva,high,4.25
6,1817,Key Success Factors in Supply Chain Finance,high,4.18
6,2208,Introduction to Topic Modeling for Business,low,1.41
6,511,Financing Infrastructure in African Cities,random,2.5
7,458,Foundations of Teaching for Learning: Developing Relationships,high,4.12
7,2860,Creating and Developing a Tech Startup,high,4.72
7,1590,ELL Success in the Content Classroom: Capstone Project,high,4.44
7,3181,International Organizations Management,high,3.59
7,3114,Create a Project Charter with Google Docs,high,4.43
7,2054,Strategic Management,high,4.15
7,2868,Foundations of Teaching for Learning: Being a Professional,high,4.03
7,1012,Oral Communication for Engineering Leaders,high,4.54
7,2922,"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",low,2.92
7,284,"Doping : Sports, Organizations and Sciences",random,3.65
8,2179,Six Sigma Tools for Improve and Control,high,3.96
8,904,Strategic Sales Management Final Project,high,4.18
8,3223,Generative Design for Additive Manufacturing,low,2.5
8,1186,Basic Data Processing and Visualization,random,3.68
9,953,Performing Data Aggregation using SQL Aggregate Functions,low,2.01
9,413,Agile Projects: Creating User Stories with Value in Taiga,random,2.87
9,1557,Political Governance and Public Policy in Russia,random,2.23
9,1139,Symmetric Cryptography,random,2.16
9,1858,"Teach English Now! Second Language Reading, Writing, and Grammar",random,3.57
10,666,Antisemitism: From Its Origins to the Present,low,3.11
